PENYERAH_PIUTANG,LOKASI,STATUS,TAHAP_SIMPEL,WAKTU,UTANG
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,5-10th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll,Luar Kota,Tidak Aktif,Tidak Potensial,<1th,300-500jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,300-500jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,<8jt
044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll,Luar Kota,Tidak Aktif,Tidak Potensial,5-10th,300-500jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,8-50jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
015 - Kementerian Keuangan,Luar Kota,Tidak Aktif,Potensial,5-10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
1001 - Pemda,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
1001 - Pemda,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,50-300jt
032 - Kementerian Kelautan dan Perikanan,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,50-300jt
015 - Kementerian Keuangan,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,>=1M
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,5-10th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Potensial,>10th,8-50jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,5-10th,8-50jt
044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll,Luar Kota,Tidak Aktif,Potensial,1-5th,50-300jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll,Dalam Kota,Tidak Aktif,Tidak Potensial,5-10th,300-500jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Luar Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
024 - Kementerian Kesehatan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
1001 - Pemda,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Potensial,<1th,8-50jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Dalam Kota,Tidak Aktif,Tidak Potensial,<1th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Tidak Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
059 - Kementerian Komunikasi dan Informatika,Luar Kota,Tidak Aktif,Potensial,1-5th,<8jt
1001 - Pemda,Dalam Kota,Tidak Aktif,Potensial,1-5th,50-300jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,8-50jt
029 - Kementerian Kehutanan,Dalam Kota,Tidak Aktif,Tidak Potensial,>10th,50-300jt
